                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.63083,                  0.404,                 1.0346,                0.96697,                0.93682,                0.97968,                0.82658,                0.67641,                0.35217,                0.96006,               0.005248,               0.005248,               0.005248
                     50,                0.62309,                0.39828,                 1.0329,                0.96156,                0.94562,                 0.9801,                0.82944,                0.66633,                 0.3474,                0.95812,               0.005149,               0.005149,               0.005149
                     51,                0.62025,                0.39863,                 1.0344,                0.95389,                0.95018,                0.98024,                 0.8296,                0.66852,                  0.347,                0.95798,                0.00505,                0.00505,                0.00505
                     52,                0.61911,                0.39727,                 1.0322,                0.95412,                0.94699,                0.97852,                0.83014,                0.66934,                0.34914,                0.95949,               0.004951,               0.004951,               0.004951
                     53,                0.61653,                0.39169,                 1.0311,                0.95447,                 0.9478,                0.97655,                0.82851,                0.66419,                 0.3498,                0.95561,               0.004852,               0.004852,               0.004852
                     54,                0.60856,                0.38775,                 1.0297,                0.95518,                0.95244,                0.97769,                0.83293,                0.66172,                0.34519,                0.95598,               0.004753,               0.004753,               0.004753
                     55,                0.60988,                 0.3862,                 1.0274,                0.95171,                0.95241,                0.97727,                0.83248,                0.66185,                0.34595,                 0.9572,               0.004654,               0.004654,               0.004654
                     56,                0.61067,                  0.385,                 1.0263,                0.95261,                0.95043,                0.97808,                 0.8346,                0.65736,                0.34323,                0.95633,               0.004555,               0.004555,               0.004555
                     57,                0.60072,                0.38239,                 1.0262,                0.95805,                0.94531,                 0.9779,                0.83483,                0.65572,                0.34155,                  0.956,               0.004456,               0.004456,               0.004456
                     58,                0.59951,                0.37843,                 1.0246,                0.95571,                0.95128,                0.97957,                0.83495,                0.65924,                0.34051,                0.95626,               0.004357,               0.004357,               0.004357
                     59,                0.60006,                0.37737,                 1.0227,                0.95849,                0.95362,                0.97947,                0.83486,                0.65824,                0.33948,                0.95572,               0.004258,               0.004258,               0.004258
                     60,                 0.5914,                0.37089,                 1.0211,                0.95777,                0.95482,                0.97924,                0.83643,                0.65569,                0.33847,                0.95473,               0.004159,               0.004159,               0.004159
                     61,                 0.5923,                 0.3704,                  1.019,                0.95706,                0.94858,                0.97833,                0.83735,                0.65034,                0.33835,                 0.9509,                0.00406,                0.00406,                0.00406
                     62,                0.58628,                0.36366,                 1.0186,                0.95604,                0.94911,                0.97779,                0.83637,                0.64903,                 0.3391,                0.94884,               0.003961,               0.003961,               0.003961
                     63,                0.58374,                0.36699,                  1.016,                0.95968,                0.94821,                0.97732,                0.83695,                0.64929,                0.34042,                0.94841,               0.003862,               0.003862,               0.003862
                     64,                0.57687,                0.35819,                 1.0152,                0.95825,                0.95039,                0.97731,                0.83651,                0.64956,                   0.34,                 0.9482,               0.003763,               0.003763,               0.003763
                     65,                0.57434,                0.35711,                 1.0119,                0.96144,                0.94922,                0.97816,                0.83508,                 0.6511,                0.34035,                0.94983,               0.003664,               0.003664,               0.003664
                     66,                0.57041,                0.35388,                 1.0132,                0.95657,                0.94756,                0.97798,                0.83509,                0.65043,                  0.339,                0.94918,               0.003565,               0.003565,               0.003565
                     67,                0.56969,                0.35432,                  1.011,                0.95233,                 0.9542,                0.97879,                0.83735,                0.64872,                0.33868,                0.94849,               0.003466,               0.003466,               0.003466
                     68,                0.56768,                0.35111,                 1.0095,                0.95768,                0.95189,                0.97849,                0.83808,                0.64729,                0.33786,                0.94888,               0.003367,               0.003367,               0.003367
